segment_label,frame_number,angle_group,angle_value,categories,segment_total_frames
0:00:01.700000-0:00:06.966667,15,group2,36.57868536412601,original,159
0:00:01.700000-0:00:06.966667,16,group2,12.25066144628072,original,159
0:00:01.700000-0:00:06.966667,17,group2,37.89469889264739,original,159
0:00:01.700000-0:00:06.966667,18,group2,38.154935930214045,original,159
0:00:01.700000-0:00:06.966667,19,group2,37.90330151590702,original,159
0:00:01.700000-0:00:06.966667,20,group2,37.69004934964088,original,159
0:00:01.700000-0:00:06.966667,21,group2,37.07737455090157,original,159
0:00:01.700000-0:00:06.966667,22,group2,36.982790091275234,original,159
0:00:01.700000-0:00:06.966667,23,group2,36.13211052071765,original,159
0:00:01.700000-0:00:06.966667,24,group2,35.27657810075478,original,159
0:00:01.700000-0:00:06.966667,25,group2,34.90645014963179,original,159
0:00:01.700000-0:00:06.966667,26,group2,34.77162904560491,original,159
0:00:01.700000-0:00:06.966667,27,group2,18.860662392925185,original,159
0:00:01.700000-0:00:06.966667,28,group2,34.87186207167485,original,159
0:00:01.700000-0:00:06.966667,29,group2,35.81358806386869,original,159
0:00:01.700000-0:00:06.966667,30,group2,37.03894107644191,original,159
0:00:01.700000-0:00:06.966667,31,group2,36.85239494983052,original,159
0:00:01.700000-0:00:06.966667,32,group2,36.62048612184649,original,159
0:00:01.700000-0:00:06.966667,33,group2,37.10793623234279,original,159
0:00:01.700000-0:00:06.966667,34,group2,37.50542592128085,original,159
0:00:01.700000-0:00:06.966667,35,group2,37.31501390759924,original,159
0:00:01.700000-0:00:06.966667,36,group2,36.74488777229452,original,159
0:00:01.700000-0:00:06.966667,37,group2,36.92947021951953,original,159
0:00:01.700000-0:00:06.966667,38,group2,35.930456015662195,original,159
0:00:01.700000-0:00:06.966667,39,group2,35.22433398379335,original,159
0:00:01.700000-0:00:06.966667,40,group2,34.928665339907255,original,159
0:00:01.700000-0:00:06.966667,41,group2,34.45445896621161,original,159
0:00:01.700000-0:00:06.966667,42,group2,34.68910670005282,original,159
0:00:01.700000-0:00:06.966667,43,group2,35.20145968026298,original,159
0:00:01.700000-0:00:06.966667,44,group2,36.01315253103812,original,159
0:00:01.700000-0:00:06.966667,45,group2,37.16497855719615,original,159
0:00:01.700000-0:00:06.966667,46,group2,37.910138535266206,original,159
0:00:01.700000-0:00:06.966667,47,group2,37.982859559359326,original,159
0:00:01.700000-0:00:06.966667,48,group2,37.55426177384644,original,159
0:00:01.700000-0:00:06.966667,49,group2,37.70771563392912,original,159
0:00:01.700000-0:00:06.966667,50,group2,37.877411683858085,original,159
0:00:01.700000-0:00:06.966667,51,group2,36.898672896551936,original,159
0:00:01.700000-0:00:06.966667,52,group2,36.950992145594235,original,159
0:00:01.700000-0:00:06.966667,53,group2,36.334663195648965,original,159
0:00:01.700000-0:00:06.966667,54,group2,35.72428675556536,original,159
0:00:01.700000-0:00:06.966667,55,group2,34.96374519148444,original,159
0:00:01.700000-0:00:06.966667,56,group2,35.141405241985645,original,159
0:00:01.700000-0:00:06.966667,57,group2,35.36187691820449,original,159
0:00:01.700000-0:00:06.966667,58,group2,35.45674141558679,original,159
0:00:01.700000-0:00:06.966667,59,group2,35.47110871850592,original,159
0:00:01.700000-0:00:06.966667,60,group2,36.017715097403695,original,159
0:00:01.700000-0:00:06.966667,61,group2,36.68077961674478,original,159
0:00:01.700000-0:00:06.966667,62,group2,37.226740542765995,original,159
0:00:06.966667-0:00:09.833333,1,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,2,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,3,group1,0.0,original,87
